T,TM,Tm,SLP,H,VV,V,VM,PM2.5
32.4,40,23.6,1009.4,32,5.1,6.1,14.8,110.16666666666667
32.2,40,23,1009.9,31,5.3,7.8,18.3,108.20833333333333
33.2,41,23,1010.3,23,5.8,7.6,13,103.83333333333333
34.6,42,23,1007.9,25,4.8,5,11.1,74.29166666666667
32.3,40,25,1006.4,31,4.8,5.4,13,101.79166666666667
32,39,23.3,1006.2,30,5.8,5.7,14.8,106.16666666666667
31.6,39,23,1008.1,35,4.5,5.7,14.8,89.875
33.9,43,23,1009.7,27,5.3,3.1,11.1,48.208333333333336
34.1,43,24,1009,27,5.8,7,16.5,47.041666666666664
30.6,39.9,24.9,1011,36,5.1,3.7,13,67.79166666666667
31.1,41,24.4,1008.5,42,5.5,8,13,56.666666666666664
28.7,38.2,24.4,1010.1,61,4.7,5.9,16.5,79.0
31.9,38,24,1010.1,43,4.8,5.2,11.1,123.58333333333333
33.4,40,24.4,1009.9,36,6,6.7,29.4,80.29166666666667
33.3,40,23.4,1007.1,27,6.3,6.5,13,137.875
32.4,40,25.4,1009,38,5.1,4.8,14.8,87.875
34.5,41,22.4,1006,38,5.6,2.2,11.1,121.20833333333333
35,42,25.5,1004.8,32,5.6,3.5,9.4,130.625
31.7,40.7,24,1008.2,50,5.6,6.1,14.8,55.416666666666664
25,27,23,1005.2,82,3.9,5.7,11.1,120.70833333333333
34.2,40,26.8,1007.3,26,6,8.3,18.3,60.541666666666664
34.4,40,26.4,1006.1,26,7.6,8.5,22.2,79.0
33.6,39,26,1005.1,27,6.1,10.9,27.8,133.70833333333334
32.4,41,26.6,1006.2,44,5.1,5.2,14.8,53.25
33.5,41,26,1004.9,37,6,3.7,9.4,65.16666666666667
35.7,42,28.2,1001.3,32,5.5,11.1,18.3,143.375
36.9,44,26.7,1001.7,26,6.4,8.5,18.3,44.791666666666664
34.2,42.3,22.2,1002.3,48,5,7,11.1,71.95833333333333
29.5,35,22.2,1003.7,57,5,3.3,9.4,17.5
33.8,40,26.8,999,42,6.1,12.2,25.9,101.0
31.1,36.8,26.7,999.8,49,4.8,25.6,40.7,84.33333333333333
30.2,36.1,23.8,1003,47,5,18.3,33.5,64.45833333333333
29.8,36,24,1003.6,47,4.7,19.3,29.4,80.54166666666667
28.7,34.3,23.4,1000.3,50,4,24.3,35.2,65.41666666666667
30.2,36,24.2,1004.3,40,4.8,17.4,33.5,65.875
29.2,36,23.9,1007,51,5,10.6,22.2,72.41666666666667
31.2,38,23.8,1005,42,4.5,13.7,25.9,184.66666666666666
30.3,37,24.2,1003.7,38,4.7,21.9,29.4,146.20833333333334
26.9,33.9,22.3,1004.7,66,4.3,14.3,25.9,112.29166666666667
28.1,33,22,1005.7,57,6,11.7,22.2,31.458333333333332
27.2,32.3,22,1003.7,55,4.8,20,29.4,45.833333333333336
28.4,32.1,22,1002.2,54,4.8,17.6,31.3,33.708333333333336
27.4,33.4,23,1005,61,5.5,11.7,22.2,30.666666666666668
28.4,33.9,24,1005.4,58,5.3,14.3,27.8,22.333333333333332
27.3,34.5,24,1006.5,64,4.2,10.4,18.3,25.083333333333332
30.3,36.2,24,1005.4,55,5.3,4.1,13,64.875
29.6,36.2,23.8,1003.5,63,5.8,3.1,9.4,47.583333333333336
25.4,34.8,21,1006,80,4.7,3.9,14.8,43.041666666666664
24.7,32.6,21.9,1005.1,79,4.3,8.3,20.6,38.416666666666664
26.7,31.1,22,1004,64,5.5,12.4,18.3,22.833333333333332
23.3,24.5,23,1003.9,82,3.5,14.6,24.1,74.66666666666667
27,30.9,22.8,1006.1,60,5.3,10.6,18.3,50.583333333333336
27.7,33.1,23,1005.8,68,5.5,8.3,22.2,58.125
26.5,33.1,24,1006,75,5.5,8.9,18.3,57.291666666666664
26.7,32.6,23,1004.7,74,5.1,9.8,20.6,38.25
26.8,32.5,23.4,1005.5,68,4.5,8.9,18.3,47.416666666666664
25.9,32,23,1005.1,74,4,11.5,22.2,56.916666666666664
26.3,31.3,23,1006.1,70,4.7,10.2,20.6,54.625
28.8,35.4,23.7,1008.7,58,6.3,2.8,5.4,45.958333333333336
29.1,33.5,25.9,1010.4,57,5.8,8.1,14.8,43.333333333333336
29.1,34.2,22,1010.5,49,5.5,5.6,11.1,41.958333333333336
29.5,34.9,21,1010.8,45,5.3,7,14.8,0.0
29.8,35.4,21,1008.7,48,5.5,4.4,11.1,0.0
27.7,35.2,24,1008,62,4.2,2.8,7.6,45.75
26.8,33.6,24,1009.1,65,4,3,7.6,70.70833333333333
29.2,34.4,24,1003.9,40,5.3,12.6,24.1,0.0
28.8,35.7,24,1011,53,5,9.6,14.8,13.0
27.1,33.3,22,1010.6,58,5.5,7.2,14.8,156.25
27.3,33,19,1012.8,46,5.3,8.9,18.3,156.0
20.9,27.9,17.4,1013.4,76,3.2,8.1,16.5,252.625
19.1,22,17.4,1015.4,81,2.3,10.6,18.3,119.41666666666667
19.9,25.1,17.7,1014.9,77,3.1,7.8,13,126.0
22.8,29,13.2,1013.2,42,4.2,8.9,16.5,232.33333333333334
21.6,30,14,1013.4,49,3.7,8.5,20.6,215.54166666666666
25.1,33,14,1013.5,34,4.7,10.7,20.6,239.41666666666666
24.4,32,16,1014.4,32,4.5,9.3,22.2,196.54166666666666
25,32,13.3,1012.9,29,4.7,10.9,18.3,232.54166666666666
22.3,29,15,1012.2,35,4.3,9.8,27.8,185.5
24.9,28,20.4,1014.6,68,4,8,14.8,166.875
25.4,30.7,20.4,1013.4,67,3.5,5,11.1,135.16666666666666
25.2,31.2,19.3,1015.6,49,3.7,6.3,13,211.45833333333334
22.7,30.5,16.6,1013.9,56,3.1,6.3,13,215.5
23.8,31,14.2,1013.3,47,4.3,4.8,9.4,223.375
21.9,29,14,1014.6,43,4.5,7.2,16.5,135.58333333333334
22.3,30.3,11.4,1012.6,37,5.1,7.2,20.6,152.04166666666666
23.1,30.8,13,1011.9,41,4.8,4.6,14.8,141.41666666666666
22.7,30.2,13,1012.3,45,5.6,1.5,14.8,46.708333333333336
22.4,30.8,12,1014.6,43,4.8,3.1,9.4,91.75
23,31,13,1013.9,36,5.3,4.1,13,99.91666666666667
22.6,31,13,1013.6,48,5,3.1,7.6,119.70833333333333
24.1,31,14,1013.3,50,5.5,3.7,9.4,110.875
24.2,31,17,1014.1,57,3.9,4.6,11.1,200.33333333333334
22.4,26.2,20,1015,75,2.6,5.9,11.1,203.58333333333334
24.8,31,20.3,1014.4,58,4.3,5.4,13,25.083333333333332
24.6,31,19,1013.7,63,4.7,3.9,11.1,57.083333333333336
21.7,28.9,14.6,1018.1,41,5.6,3.9,11.1,349.2916666666667
18.9,28.9,9,1015.6,42,5.6,2.8,9.4,188.04166666666666
20.6,28,11.5,1015.4,41,5.1,3.5,9.4,310.25
19.8,29.5,11,1015.5,57,4.3,1.9,5.4,204.375
21.9,29.5,13,1014.4,36,5.6,7.2,14.8,223.25
21,28.5,15,1014.7,41,5.5,4.6,14.8,248.95833333333334
