T,TM,Tm,SLP,H,VV,V,VM,PM2.5
30.6,39,20,1013.3,26,5,5.6,13,89.375
31.8,38.1,22,1010.6,31,5.6,7.8,16.5,101.375
30.4,37,23,1012.5,40,5.3,6.9,11.1,42.916666666666664
30.6,36,23.6,1010.6,41,5,8.3,14.8,47.25
32.6,40,23,1009,35,5.3,6.5,11.1,81.20833333333333
33.3,40,25,1007.1,34,5.6,4.4,14.8,52.291666666666664
33.3,39.1,25.4,1004.7,25,5.6,5.2,14.8,28.458333333333332
31.1,40,24,1006.4,48,5.5,8,11.1,49.5
23.9,30,16.5,1013.1,67,5.1,6.1,14.8,54.708333333333336
22.9,29.5,16.7,1011.5,63,4.3,5.2,18.3,52.625
27,32,17.4,1012.4,50,4.8,8,13,51.375
31.9,38,22,1007,42,6.3,3.5,11.1,94.33333333333333
32.7,38,26,1008.4,36,5.3,6.3,14.8,92.91666666666667
33.6,40,25,1006.9,36,5.8,6.1,11.1,80.20833333333333
31.3,38,26,1006.4,43,5.8,7.2,14.8,71.66666666666667
30.2,37.5,24,1008.2,52,5.3,8.3,14.8,31.833333333333332
32.3,38,24.4,1010,41,5.3,4.8,11.1,47.666666666666664
34.9,41,26.2,1005.7,24,6.3,6.5,11.1,48.125
34,41,27,1006.8,31,5.1,8.1,16.5,56.25
31.8,40.9,27,1006.6,38,4.8,9.1,14.8,103.41666666666667
32.4,38.6,25,1006.9,45,5.5,5.7,13,76.875
34.7,41,27,1004.7,31,5.5,5.6,14.8,77.70833333333333
31.7,37.1,26,1008.1,44,5.3,7.2,13,55.083333333333336
35,42.5,28.9,1001.4,38,5.8,7.6,14.8,18.875
37.3,45,31.2,1001.8,24,6,6.9,13,68.91666666666667
36.3,41.5,29.6,1004,27,6.4,12.6,22.2,77.375
36.1,43,30,1002.7,25,5.5,9.8,18.3,63.916666666666664
36.3,42.8,30.5,1001.4,27,5.6,11.9,24.1,63.666666666666664
36.9,43,28,1000.2,29,5,8.1,24.1,63.625
31,42.8,26,1003.3,47,5,11.9,24.1,25.458333333333332
31.3,39,27,1003.8,45,4.8,14.8,24.1,20.75
33.9,38,24.9,1003.8,35,5.3,8.1,14.8,40.5
29.6,36.8,22.5,1003.9,61,4.3,9.1,14.8,64.83333333333333
31.4,36.3,24.8,1005.1,50,5.3,11.3,24.1,63.0
29.8,35.3,24,1004.8,52,5,10.7,25.9,73.83333333333333
26.3,34.7,21.9,1003.5,76,4.7,9.6,25.9,31.875
26,31.3,22.3,1001.8,76,4.8,14.3,25.9,54.958333333333336
25.6,30.1,23,1002.7,73,5.1,15.9,24.1,77.75
26.5,31.6,21,1000.3,62,4.7,22.2,40.7,75.33333333333333
25.8,31.5,23,999.6,67,3.9,19.3,37,32.583333333333336
23.7,28.8,22,1000.8,84,3.4,13.1,22.2,28.375
29,33.9,24.9,1002.2,56,5,18,27.8,28.541666666666668
29.3,34.2,24,1002.7,55,4.8,13.7,18.3,51.041666666666664
27.1,34.2,24,1003.4,64,5,15.6,27.8,40.0
29.6,35.4,25,1008.1,52,5.1,11.1,18.3,37.583333333333336
28.1,35.3,24.8,1006.9,60,4.5,12,20.6,37.625
30.6,35.9,25.7,1005.9,45,5.5,13.3,22.2,34.375
30.8,36,24.8,1003.7,43,5,14.1,22.2,42.291666666666664
29.7,34.4,25.6,1002.5,51,4.7,14.8,29.4,40.625
28.4,36.6,23,1003.1,63,4.7,10.7,18.3,30.708333333333332
28.4,36.6,22.9,1001.4,64,5,12.8,24.1,10.208333333333334
27.6,33.6,24,1001.3,65,4.7,15,27.8,19.416666666666668
28.3,34.7,24,1004.6,57,5.5,15.4,25.9,0.0
28.7,34.7,24,1005,57,5,14.1,25.9,0.0
29.9,35.3,24,1005.3,50,5.6,15.2,25.9,4.833333333333333
28.4,34.8,23.8,1006.4,56,5,15.9,22.2,15.375
28.3,34.8,23,1006.4,59,5,13.3,22.2,19.833333333333332
29.3,34.8,24,1005.4,55,5,10.2,18.3,25.791666666666668
28.8,37,24.8,1006,55,5,10.6,18.3,22.708333333333332
27.7,34.2,23,1004.2,63,4.8,13,18.3,47.416666666666664
26.7,33.7,23.8,1002.1,68,5.5,11.3,22.2,33.791666666666664
25.1,27.6,21.7,1004.7,74,4.3,9.4,18.3,39.041666666666664
27.4,31.4,23.3,1004.3,66,4.8,6.9,18.3,41.708333333333336
28.7,33.1,23,1006.5,61,5,9.4,18.3,28.75
28.9,37.6,23,1009,65,5,5.7,14.8,12.25
26.6,37.6,21.8,1009.5,70,4.3,6.5,25.9,14.5
27.6,32.7,22.9,1007.9,67,5,9.4,18.3,23.916666666666668
28.3,33.4,24,1005.2,59,5,11.7,18.3,27.375
28.9,34.6,23.9,1004,56,5.3,10.6,20.6,29.208333333333332
27.6,34.6,24.3,1004,65,4.8,9.6,18.3,36.5
27.8,32.5,23.7,1007.2,61,5.1,10,18.3,27.833333333333332
28.9,34,24,1005.9,54,5.5,9.3,18.3,44.125
29.2,34.9,24.3,1006.4,53,5.1,8.7,20.6,62.25
30.9,37,25,1007.6,49,5.3,6.5,13,60.125
26.1,35.5,22.6,1009.8,72,4.5,7.2,13,34.666666666666664
26.1,33.2,21.2,1009,74,4.5,4.3,11.1,39.208333333333336
25.3,33.1,21.9,1008.7,80,3.7,3.5,11.1,38.708333333333336
26.6,31.3,22.8,1007.5,69,4.5,8,11.1,69.95833333333333
25.7,31.6,22.8,1005.7,79,4,7.4,16.5,94.375
24.7,31.6,22,1004.4,83,3.4,7.8,11.1,85.75
27.9,32.8,22.5,1004.3,65,5,8.1,18.3,51.666666666666664
27.7,31,24,1004.6,62,5,8.1,18.3,39.416666666666664
27.9,32.6,23.3,1006.4,57,5.3,8.7,14.8,23.958333333333332
29.8,36.5,23.8,1006,60,4.7,3.9,11.1,43.5
27.8,35.4,22.4,1007.9,72,4.2,4.6,11.1,50.416666666666664
29.1,33.2,23,1007.4,53,4.8,5.4,11.1,55.708333333333336
26.4,30.9,22.6,1010,75,4.2,7.6,16.5,57.125
26.8,31.8,22.6,1010.5,70,4.8,6.3,11.1,69.375
26.8,33,22.5,1010.2,73,4.7,6.7,18.3,65.375
27.4,33,19,1008.2,48,4.7,5.7,14.8,97.70833333333333
28.4,35,20,1008.6,44,4.7,5.6,11.1,80.70833333333333
28.6,35,21.9,1011.7,38,4.8,4.8,9.4,81.625
28.2,36,19,1012.4,44,4.7,3.5,9.4,65.375
27.8,34,19,1010.2,52,4.5,5.7,13,84.375
27.3,33,21,1012.4,49,4.5,6.7,14.8,141.95833333333334
27.1,33,20,1010.7,49,4.2,6.1,18.3,153.375
28.2,34,19,1010.2,45,4.8,8.9,18.3,162.875
26.2,32.2,20.7,1012.8,59,4.3,8.3,14.8,0.0
26.3,32,20,1013.4,50,4.3,8.1,18.3,49.333333333333336
26.6,33,19,1013.1,42,4.3,8.1,14.8,107.33333333333333
27.1,32.1,21,1010.3,55,4.8,10,14.8,273.625
26.9,33,20.8,1011.8,49,4.8,5.7,16.5,256.9583333333333
27.5,33,20.3,1011.8,50,4.8,6.3,9.4,185.08333333333334
27.6,33.8,19,1011.9,49,6.1,5.9,11.1,365.75
27,32.6,20,1012.5,49,5.5,7,16.5,241.875
25.4,32.6,16,1011.6,42,5.5,6.7,14.8,176.875
24.7,33.5,16,1014,44,5.3,5.9,18.3,353.0416666666667
25.6,33.5,16,1011.5,40,5.3,5.4,14.8,257.4166666666667
25.2,31.6,19,1012.8,53,4.7,10,18.3,207.83333333333334
23.2,30.7,20.4,1013.2,78,3.4,6.3,13,268.1666666666667
25.8,30.2,20,1011.8,60,4,7.6,16.5,278.3333333333333
25.2,31.7,18,1013.7,52,4.7,5.6,13,157.5
24.7,32,16,1012.5,53,5.1,3.1,14.8,156.375
27.1,33.4,18.3,1010.7,52,5.6,3.1,9.4,200.5
27.2,31,21.9,1013.1,54,5.3,6.5,11.1,212.125
25.2,31,22.4,1013.5,62,4.2,7.8,14.8,190.5
23.1,31.1,15,1014.9,56,4.5,2.4,7.6,286.375
23.7,31.1,15,1014.5,55,5.6,4.1,9.4,288.0833333333333
22.7,30.7,15,1016.2,50,4.8,5.2,11.1,302.4583333333333
27.2,35,21,1010.4,61,4.3,3,9.4,163.0
27.9,34.8,21.4,1011.2,46,6,5.2,11.1,161.375
26.7,33.5,21,1010.9,37,5.1,5.7,11.1,157.375
26.4,33.2,19.5,1016.1,48,4.3,7.6,14.8,245.91666666666666
25.8,32.5,19,1013,59,4.5,5.4,9.4,264.5833333333333
25.8,32.5,20,1012.6,60,4.5,6.1,11.1,253.29166666666666
21,33,16.8,1016.3,34,5.1,7.8,14.8,181.20833333333334
21.2,30,12.6,1017,32,4.8,4.6,7.6,210.875
21.3,29.5,14.9,1018,41,7.7,1.9,5.4,255.33333333333334
