T,TM,Tm,SLP,H,VV,V,VM,PM2.5
27.9,31,22.7,1004,68,6,14.8,22.2,26.583333333333332
22.5,31.2,21.8,999.8,87,3.9,18.3,25.9,15.416666666666666
24.7,26.7,21.2,1000.4,77,4.7,16.5,22.2,41.375
26.2,29.2,22.1,1002.3,68,5,17.6,22.2,25.541666666666668
27.7,32,22.6,1003.7,65,5.6,10,22.2,28.375
27.7,32,22.5,1005.3,69,5.1,10.7,22.2,50.333333333333336
27.3,30.7,23.6,1005.1,71,5.6,14.8,29.4,35.375
27.9,31.2,23.2,1005.5,66,5,11.7,22.2,31.916666666666668
25.9,29,22,1003,76,4.7,10.2,14.8,35.291666666666664
26.1,30,23.2,1003.6,79,5,11.5,22.2,26.833333333333332
25.6,29.5,22.4,1004.4,83,4.7,11.1,18.3,21.125
25.9,30.4,22,1004.1,80,5.1,13.3,18.3,35.708333333333336
26.1,30.1,21.7,1002.9,74,4.8,14.1,18.3,43.583333333333336
26.3,31.4,21.6,1002.6,74,5.6,15.9,24.1,46.041666666666664
26.1,30.6,22.8,1004.5,74,4.7,14.3,27.8,82.875
25.9,29.7,21.8,1004.9,70,4.8,16.3,22.2,64.91666666666667
26.2,29.6,21.7,1005.4,71,4.5,16.7,35.9,30.666666666666668
26.9,30,23.1,1006.8,69,4.7,9.6,24.1,34.416666666666664
28.2,32,22.5,1007.5,66,5,8.9,16.5,30.625
27.7,31.8,23,1007.3,67,4.5,8.5,16.5,30.333333333333332
28.7,32.5,23.9,1006.5,61,5.1,9.4,18.3,0.0
24.8,32.2,21.4,1007,80,3.4,8.1,18.3,0.0
25.7,29.3,20.4,1007.3,82,4,3.5,11.1,0.0
29.2,33,23.9,1005.9,66,5,6.5,14.8,76.875
28.6,33,24,1005.5,68,4.7,2.4,11.1,83.45833333333333
27.5,34,23,1002.9,72,5,7,22.2,71.66666666666667
27,31,22.6,1000.1,77,4.7,5.6,14.8,69.70833333333333
25.2,29.7,22,999.4,80,4.2,10,18.3,62.375
26.6,30,21.8,1001.3,71,5,14.3,20.6,24.875
28.2,32,22.8,1007.6,60,6.4,5,13,43.958333333333336
28.9,33,22.9,1009.2,58,5.8,7.2,14.8,41.5
27.9,32.5,23,1003.6,67,5.1,12.6,25.9,30.333333333333332
26.8,32.5,22.6,1005.3,73,5,9.1,22.2,26.666666666666668
26.5,30.6,21.3,1006.2,76,4.5,9.8,18.3,29.0
29.8,34,24.4,1007.5,60,5.3,6.7,18.3,61.708333333333336
26.2,33.4,21.6,1008.1,74,4.5,8.3,18.3,41.583333333333336
27.2,32,22.5,1004.8,67,5.1,10,22.2,80.04166666666667
28.2,33,23,1007.3,63,5,11.1,22.2,82.83333333333333
28.1,32.2,22.7,1008.3,61,5,9.4,14.8,95.25
27.3,33,19,1010.6,47,5.6,8.9,18.3,126.16666666666667
25.4,31,22,1007.1,73,4.5,6.5,22.2,160.66666666666666
22.3,24.5,21.4,1005.3,91,3.4,6.5,13,245.66666666666666
24,27.4,21.4,1006.3,85,3.9,8.7,20.6,261.6666666666667
25.6,30,21.8,1008.3,72,5.3,9.3,20.6,272.4166666666667
25.3,31,17,1012.4,56,4.7,3.1,11.1,149.625
26.6,31,21.2,1012.9,60,5,4.8,14.8,99.70833333333333
26.3,30.4,22.9,1012.1,70,5.5,6.9,14.8,217.375
26.6,31,22,1013.9,68,4.7,9.6,20.6,309.375
24.7,29,18.3,1013,58,5,5.2,11.1,321.5416666666667
24.5,29,18,1013,62,4.2,5.2,11.1,278.0
24.8,30,18,1011.8,62,5.5,5.2,11.1,192.33333333333334
21.9,29.4,14,1012.5,48,5,3.5,13,224.16666666666666
22.2,29.4,14.3,1013,60,6.3,2.2,7.6,196.75
24.7,32,15.6,1010.9,47,5.3,5.9,13,130.70833333333334
25.6,31.6,16,1008.3,45,6.1,5.9,14.8,194.70833333333334
25.6,32,21,1010.9,73,4.7,2.4,9.4,134.45833333333334
26.4,32,19.2,1010.4,51,5.3,7.4,18.3,110.0
24.1,31,15,1011.9,39,5.6,6.5,13,160.0
25.8,32,17.9,1014.1,65,4.7,3.3,11.1,118.91666666666667
24.7,30.8,21.3,1013.2,74,4.7,3.1,11.1,176.375
24.4,28.6,21,1012.8,72,3.4,5.2,11.1,185.95833333333334
21.3,28,13.2,1012.1,43,5,5.7,13,239.125
20.7,30.1,12,1011.1,46,4.5,1.9,9.4,365.2916666666667
20.7,30.1,9,1010.5,35,4.5,4.6,14.8,312.2083333333333
21.2,30.7,10,1014.6,38,4.5,2.8,11.1,202.875
22.3,30.4,11.8,1013.8,38,4.8,3.3,14.8,260.1666666666667
21.5,30,11,1012.5,47,5.6,1.1,9.4,277.7083333333333
22.6,31,11,1014.3,44,4.7,2.2,11.1,284.1666666666667
21.7,29.8,13,1014.3,57,5.1,5,11.1,288.4166666666667
22.2,29,14,1018.9,52,5,3,11.1,166.91666666666666
19.9,28,13,1016.1,66,4.5,2.4,7.6,169.0
20.2,28,13,1015,66,4,2,7.6,186.04166666666666
23.3,28,17,1015.8,56,4.8,6.5,13
